Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,ms-1001,BUILD YOUR OWN SUKKAH,BUILD YOUR OWN SUKKAH,BUILD YOUR OWN SUKKAH,BUILD YOUR OWN SUKKAH,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982280017,5060982280017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DC-2001,Pack of 2 Design Your Own Dreidels,Pack of 2 Design Your Own Dreidels,Pack of 2 Design Your Own Dreidels,Pack of 2 Design Your Own Dreidels,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060982280079,5060982280079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STR-506,CHANUHAH STRAWS- CONFETTI DREIDELS,CHANUHAH STRAWS- CONFETTI DREIDELS,CHANUHAH STRAWS- CONFETTI DREIDELS,CHANUHAH STRAWS- CONFETTI DREIDELS,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060982280239,5060982280239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CCIA-1001,Colour-In Apron,Colour-In Apron,Colour-In Apron,Colour-In Apron,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982280284,5060982280284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DP-2001,DREDEL POPPERS,DREDEL POPPERS,DREDEL POPPERS,DREDEL POPPERS,Others,CHANUKAH,Chanukah Crafts,Cazenove,Cazenove,5060982280383,5060982280383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SA7500,PASSOVER STICKER ART,PASSOVER STICKER ART,PASSOVER STICKER ART,PASSOVER STICKER ART,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982280703,5060982280703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MFC1711,PASSOVER MOSAIC CRAFT,PASSOVER MOSAIC CRAFT,PASSOVER MOSAIC CRAFT,PASSOVER MOSAIC CRAFT,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982280710,5060982280710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GD-1001,Gyro Dreidel,Gyro Dreidel,Gyro Dreidel,Gyro Dreidel,Others,CHANUKAH,Judaica Crafts,Cazenove,Cazenove,5060076435101,5060076435101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SIMANIM CARD SILVER,SIMANIM CARD SILVER,SIMANIM CARD SILVER,SIMANIM CARD SILVER,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076436375,5060076436375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PASSOVER STICKERS,PASSOVER STICKERS,PASSOVER STICKERS,PASSOVER STICKERS,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076437167,5060076437167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STICK-1021,Shabbos Stickers,Shabbos Stickers,Shabbos Stickers,Shabbos Stickers,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982281427,5060982281427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FROG STRAW,FROG STRAW,FROG STRAW,FROG STRAW,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076433190,5060076433190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLASTIC APPLE POT,PLASTIC APPLE POT,PLASTIC APPLE POT,PLASTIC APPLE POT,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076438003,5060076438003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
