Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,B172,"12"" POTTY TRAINING DOLL SET","12"" POTTY TRAINING DOLL SET","12"" POTTY TRAINING DOLL SET","12"" POTTY TRAINING DOLL SET",Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,709951192764,709951192764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PACK N PLAY,PACK N PLAY,PACK N PLAY,PACK N PLAY,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,86138100485,86138100485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NYD BRUSH,NYD BRUSH,NYD BRUSH,NYD BRUSH,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077261055,687077261055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A178,#9 3 IN 1 PLAYPEN SET (A178),#9 3 IN 1 PLAYPEN SET (A178),#9 3 IN 1 PLAYPEN SET (A178),#9 3 IN 1 PLAYPEN SET (A178),Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,687077262137,687077262137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NY DOLL SHOES,NY DOLL SHOES,NY DOLL SHOES,NY DOLL SHOES,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077262397,687077262397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NYDC DOLL SHOES,NYDC DOLL SHOES,NYDC DOLL SHOES,NYDC DOLL SHOES,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077262489,687077262489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLL LACE LEGGINGS,DOLL LACE LEGGINGS,DOLL LACE LEGGINGS,DOLL LACE LEGGINGS,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077263127,687077263127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLL SHIRT,DOLL SHIRT,DOLL SHIRT,DOLL SHIRT,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077263585,687077263585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NYDC HAIR BRUSH,NYDC HAIR BRUSH,NYDC HAIR BRUSH,NYDC HAIR BRUSH,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077261062,687077261062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLL SNOWBOARD SET,DOLL SNOWBOARD SET,DOLL SNOWBOARD SET,DOLL SNOWBOARD SET,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077262700,687077262700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
